vehicle_type,plate_number,timestamp
truck,,2026-07-16 02:57:59
truck,9125,2026-07-16 03:09:21
car,,2026-07-16 03:21:37
car,,2026-07-16 03:22:03
car,D80,2026-07-16 03:23:03
car,,2026-07-16 03:23:20
car,42892,2026-07-16 03:23:54
car,,2026-07-16 03:24:52
car,,2026-07-16 03:57:53
car,,2026-07-16 03:57:59
car,,2026-07-16 03:58:12
car,,2026-07-16 03:58:20
car,,2026-07-16 03:58:46
bus,,2026-07-16 03:58:57
car,,2026-07-16 03:59:00
car,,2026-07-16 03:59:04
car,,2026-07-16 03:59:13
car,,2026-07-16 03:59:26
car,,2026-07-16 03:59:35
truck,IO,2026-07-16 03:59:39
